"batter","totalBatterStrikeoutRate","totalBatterWalkRate","totalBatterwOBA","pitcher","bats","BsRperPA","DefperInn"
570799,0.261787162995662,0.0640132003842415,0.392850779180992,570799,"R",-0.00151145833333333,-0.00119882838503528
592663,0.194493953875077,0.0696641295581016,0.392496332682533,592663,"R",0.0035310266092913,0.00787399784471999
592426,0.206841089201878,0.0810668956121153,0.355062195121951,592426,"R",0,0
592593,0.208508159236948,0.0751736526159919,0.328451111111111,592593,"L",0,0
592685,0.377560044605374,0.118501145375591,0.394400560730318,592685,"L",-0.000972561983471074,0
592789,0.344668537174638,0.0903378256278609,0.360882226903963,592789,"L",0,0
405395,0.136542454067298,0.0600133553982779,0.347580476868059,405395,"R",-0.00610513374251724,-0.00404406779661017
592836,0.279305098186399,0.0554193078699628,0.346569441123934,592836,"R",0,0
547982,0.227802296931699,0.0736473528174779,0.374988802570257,547982,"L",0.000898747793242189,0.00712101459961657
592122,0.322550914298152,0.0836886649204763,0.442010441677647,592122,"R",-0.00112238805970149,0
592863,0.208356809964146,0.0654011918701089,0.340676551115889,592863,"L",-0.00245606060606061,0
592680,0.288194057134728,0.0943166320632189,0.326472917173142,592680,"R",-0.00169375,0
500135,0.209158184260813,0.0641690280587641,0.324696358320043,500135,"R",-0.00195922330097087,0
571595,0.18601858752385,0.0557700817424072,0.312152627591707,571595,"R",-0.00105751633986928,0
592626,0.189410105147707,0.0895412809365869,0.376405092832978,592626,"L",0.00126460874001496,-0.00305018754227387
593643,0.198917888181798,0.07639412102899,0.340600590557768,593643,"R",0,0
593140,0.217821782178218,0.0847507052980132,0.359167355371901,593140,"R",0,0
593525,0.261344464415584,0.0805165661276817,0.33640094625769,593525,"R",0,0
607369,0.319332760989525,0.0962833591630114,0.362827600820232,607369,"R",0,0
605412,0.0846189412474373,0.0804868703970796,0.299707498062892,605412,"L",-0.00304343679880329,0.00087191342194021
543768,0.18721305913372,0.11253761207904,0.384465489458095,543768,"L",-0.0012818526827129,0.00224701914955018
605125,0.284940874562175,0.0717335150838382,0.342587161771985,605125,"L",0,0
605361,0.20649124346205,0.100785727870667,0.37409789123082,605361,"L",0.0017463687150838,0
542932,0.222746706601467,0.0843659310344828,0.367248850890266,542932,"R",0,0
543294,0.390483741500002,0.0467659308957226,0.293142073576476,543294,"R",0,0
592348,0.270197792829815,0.0871315804715895,0.374840678201847,592348,"S",0.00132073170731707,-0.00445860225697882
