"pitcher","totalPitcherStrikeoutRate","totalPitcherWalkRate","totalPitcherwOBA","throws","inningsPerStart","Rank","Factor"
489448,0.214973330093562,0.102223025885559,0.373881684384078,"L",5.4,0.5,1
491646,0.227653605761861,0.0941058733624154,0.37766254684918,"R",5.4,0.5,1
491696,0.210775373053487,0.0974438236050653,0.372714276725144,"R",5.4,0.5,1
493200,0.266066357010589,0.0816408809980815,0.372370415677939,"R",5.4,0.5,1
493247,0.196132339611209,0.111081426934177,0.372080414562741,"R",5.4,0.5,1
493603,0.331595009995629,0.119829684587562,0.360914663030151,"R",5.4,0.5,1
500724,0.20014223830857,0.111989526596447,0.374727357948696,"R",5,0.509028608063174,0.999881760676261
500779,0.24660167872672,0.0977478223514096,0.378073453569249,"L",5.440625,0.569308938249061,0.971806003324905
500872,0.206170327189932,0.109977515568491,0.37434141916262,"R",5.4,0.5,1
501381,0.231265320699022,0.0870995568212151,0.375678195062745,"R",5.4,0.59359336737404,0.976713416587876
501593,0.205596725826612,0.105729699742238,0.371582436879753,"L",5.4,0.5,1
501625,0.18993201430745,0.0861270271429959,0.374131464353661,"L",5.4,0.5,1
501697,0.181942645372051,0.118381162984724,0.373174065693405,"R",5.4,0.5,1
501789,0.255756966736242,0.0917772663447652,0.372263333562688,"R",5.4,0.5,1
501817,0.233704463642031,0.0876198667394312,0.37085791810986,"R",5.4,0.5,1
501822,0.198404644235043,0.110390645875995,0.372479843775216,"R",5.4,0.5,1
501925,0.253103669655901,0.0829289125762469,0.371093562911211,"R",5.4,0.5,1
501957,0.146194290425168,0.114294440881037,0.380360964384168,"R",5,0.447134837804918,1.08071003363538
501985,0.208595851030102,0.0785550626838862,0.369294465180311,"L",5.60714285714286,0.496619555330619,0.965918666793483
501992,0.218929426785889,0.103443398676285,0.371542433866724,"R",5.4,0.476660164415142,0.993852829469517
502004,0.173057488002664,0.0903342243457234,0.373137667677333,"R",5.4,0.5,1
502026,0.276300970802925,0.090504713159123,0.367995479710036,"R",5.4,0.506035341306681,1.0035480147758
502028,0.223204294976683,0.103808951474007,0.3735826519672,"R",5.4,0.5,1
502032,0.26248009467766,0.0902662065852348,0.371293172620652,"R",5.4,0.516574171407847,0.991922818895981
502042,0.273547516264263,0.0908535335339556,0.383841246544444,"R",5.48518518518518,0.547360087695728,0.931351133888036
502043,0.191379041578259,0.113015937070191,0.375840759633536,"R",6.13125,0.517594690890516,0.958259183741239
502051,0.215243516845878,0.100798819179534,0.371075059414484,"R",5.4,0.5,1
502083,0.216443690229628,0.0732189994478661,0.379220423842899,"R",5.4,0.5,1
502085,0.269499344649374,0.117382237856967,0.372433875557189,"R",5.4,0.5,1
502154,0.205837477337337,0.112243314287456,0.366815534579529,"L",5.4,0.5,1
502171,0.167085598260335,0.0782263554717754,0.378194653044795,"R",5.43214285714286,0.430852307074937,0.973212070199619
502188,0.175675732824548,0.111966429059446,0.372477187779053,"R",5,0.486960447332868,0.990889643378842
502190,0.183130808448379,0.0593237752233371,0.388718669842131,"R",5.9741935483871,0.523808554795973,0.990567804174758
502202,0.260601356797676,0.112866914655334,0.375292204373615,"R",5.4,0.5,1
502212,0.184172095850046,0.0921811548232608,0.374522893166672,"R",5.66666666666667,0.467128450137424,1.04199363357282
502239,0.212058636559138,0.0892082041863572,0.371949678819416,"R",5.3,0.598871607557142,0.97750444368094
502327,0.223522685408778,0.117206069194542,0.373134314179744,"L",5,0.429570531182051,1.01498620755092
502381,0.22171945542959,0.102594892418301,0.372381644674048,"R",5.4,0.5,1
502522,0.259929991555951,0.0884005211269092,0.37572173195851,"R",5.4,0.5,1
502593,0.191538536262569,0.103382485022389,0.373007115401006,"R",5.4,0.5,1
502624,0.219805556235113,0.0960851120325305,0.380211526822242,"R",5.26666666666667,0.566813762127239,0.976636460055493
502706,0.239799378696469,0.112002647029025,0.383249838282221,"L",5.37333333333333,0.489317715613385,1.00147202934042
502748,0.279191261742029,0.0921294920832588,0.370234120020522,"R",5,0.622299718350533,0.97172365264205
503285,0.268662299420693,0.0878600240379779,0.370479458002775,"R",5.4,0.5,1
503449,0.202665976856026,0.123276602244253,0.373342265948887,"R",5.4,0.460575851598541,0.988281327862941
504379,0.24254155972044,0.0748090208519805,0.374001366091173,"R",5.4,0.5,1
506433,0.243495641945114,0.115904341493143,0.375249358163335,"R",5,0.601486884157865,0.934536215535995
516472,0.20319087,0.0958941247267759,0.37409010485102,"R",5.4,0.5,1
516969,0.220746393393124,0.0732041951837403,0.367722891909755,"R",5.4,0.5,1
517008,0.261045662445077,0.0871916489602805,0.375495134688308,"R",5.4,0.5,1
517414,0.169929019398973,0.101802535114947,0.370461611712736,"R",5.4,0.492836859706101,0.997702388429276
518397,0.22229635261117,0.0918522632872601,0.362987006155373,"L",5,0.505759499470161,1.00236760252631
518445,0.217848798227064,0.0941582936806934,0.377235028397611,"L",5.4,0.456937331892102,1.00971348011006
518452,0.146630176614886,0.108676528105971,0.37482494169124,"R",5.45,0.468897967217536,1.00228819165833
518489,0.22683842084354,0.080415544693823,0.370521278012059,"R",5.4,0.5,1
518516,0.196278845845098,0.0778814439399836,0.375414868434448,"L",6.15238095238095,0.535472853898566,0.934922396086831
518553,0.261774773092622,0.107882189665357,0.363118563494913,"R",5.4,0.5,1
518566,0.246567399582736,0.101916439773306,0.368891530102184,"R",5,0.499857374627423,1.002709637196
518614,0.202974091324201,0.0988053308491418,0.37210381081865,"R",5.4,0.5,1
518617,0.260319501154466,0.109112884091443,0.371825129109433,"L",5.4,0.5,1
518633,0.207419400281243,0.102685029129306,0.376655170384092,"L",5.53571428571429,0.422057685969743,0.939293419886343
518693,0.249199086004074,0.119685472497952,0.371383001756804,"L",5.4,0.5,1
518715,0.211722556503893,0.116556589882891,0.373994409191196,"R",5.4,0.5,1
518748,0.183320941889122,0.112710856192221,0.37257849032365,"R",5.4,0.5,1
518774,0.183337662639691,0.0800391444702787,0.384429664540515,"R",5.32142857142857,0.443503563725683,1.02177376140761
518813,0.264316507538014,0.117927447496024,0.367128723007149,"R",5.4,0.5,1
518858,0.236159139113008,0.110997373511527,0.37551050582027,"R",5.4,0.5,1
518875,0.243486093691487,0.0753465678001179,0.369952737529109,"R",5.4,0.5,1
518876,0.20908199019352,0.0873612363505747,0.372524637800213,"R",5.4,0.5,1
518883,0.207496224976526,0.0975091960055096,0.372549812341122,"L",5.4,0.5,1
518886,0.331426666094035,0.117178324185082,0.372946109110201,"R",5.4,0.5,1
519008,0.143499192331018,0.0976010763724752,0.363696104315101,"L",5.4,0.5,1
519043,0.210576001488467,0.0826949905573077,0.380728812393517,"L",5,0.439433681753193,1.02922167650673
519096,0.174284115229838,0.0581423732292422,0.373257100929588,"R",5.4,0.5,1
519141,0.198553929082911,0.116596023743889,0.382382875082236,"L",5,0.560731744271429,0.992589670430608
519144,0.198664882925741,0.100621933145075,0.37640720503012,"R",5.79090909090909,0.608843136675869,0.979234993612391
519151,0.321034024508689,0.0746653143809842,0.367755413629221,"R",5.4,0.5,1
519166,0.277425765658772,0.0995662335630847,0.379511324752115,"R",5.4,0.5,1
519240,0.211968981812068,0.111999890042202,0.375125094676305,"L",5.4,0.5,1
519242,0.27326571896791,0.0724421095937269,0.370489367292168,"L",5.85185185185185,0.728402886773454,0.868719224066334
519293,0.298894577396963,0.0810621485012711,0.364968370241955,"L",5.4,0.5,1
519294,0.195044282973834,0.114151696956586,0.373756607406309,"L",5.4,0.5,1
519295,0.216304119315403,0.0983180698166431,0.374569219076333,"R",5.4,0.5,1
519301,0.239407545751582,0.0978902465770823,0.375291734906687,"L",5.4,0.5,1
519326,0.193190768003531,0.104237752853714,0.376420263216559,"R",5.4,0.5,1
519381,0.204398806708808,0.0914950815441865,0.368774133604264,"S",5.4,0.5,1
519393,0.257209236947118,0.0988147314929339,0.37084573151055,"R",5.4,0.5,1
519443,0.253824232454658,0.108545866076014,0.370586933794233,"R",5.4,0.5,1
519455,0.182794594322607,0.0701868905402249,0.375877472563755,"R",5.244,0.412709962562944,0.957768034564881
520980,0.240026460183561,0.0945601953495007,0.362423396221441,"R",5.4,0.5,1
521230,0.215585362725667,0.10447472898403,0.367587750660248,"R",5,0.5,1
521655,0.219141344770131,0.0977950147474725,0.372079438950688,"R",5,0.49089999294315,0.986432320073947
523260,0.209215661888152,0.0943376780619552,0.373891467536197,"R",5.4,0.5,1
525768,0.200667886695844,0.11039162903511,0.37152642800847,"L",5.4,0.5,1
527048,0.1785588650771,0.100807051557361,0.375952258529927,"L",5,0.454636343424176,1.05641439961618
527054,0.226286023268667,0.113732728848904,0.378763213467311,"R",5.65161290322581,0.524953533060786,1.00153515936075
527055,0.257553120265034,0.0975736156404873,0.374614207293265,"R",5.4,0.5,1
532077,0.243425451079386,0.0685171587047055,0.368445271392129,"R",5.4,0.5,1
533167,0.242742198987192,0.0917237472771123,0.381011094624991,"R",5,0.488563667302195,0.95878241841499
534812,0.21239723195094,0.100693990423626,0.376902717976644,"R",5.4,0.5,1
541640,0.168635588667689,0.0832505353051598,0.386909488920064,"R",5,0.502129237286789,1.03764993043022
541650,0.197106245762927,0.101178010542749,0.372831526245632,"R",5.4,0.5,1
541652,0.237266194244881,0.125832647620188,0.373412674540586,"R",5.4,0.5,1
542289,0.192684354597701,0.103489179973822,0.37091270545837,"R",5.4,0.5,1
542432,0.210573774532001,0.111270620682731,0.372405069561921,"R",5.4,0.5,1
542881,0.189408223902316,0.0807924297137597,0.372038989382614,"L",5.5,0.537585454116927,0.928021251605338
542882,0.226824378359104,0.090450801590023,0.378733870290202,"R",5,0.507804753022451,0.982787037037523
542888,0.223333107053551,0.0937454594513849,0.374272548573871,"R",5.4,0.5,1
542914,0.21428453931269,0.091745524957142,0.374054234619167,"R",5.4,0.5,1
542924,0.193333124202128,0.111521808378595,0.374637906688358,"L",5.4,0.5,1
542946,0.224233705375303,0.0991734589060308,0.37364190586078,"L",5.4,0.5,1
542947,0.171900965888103,0.0704887439634102,0.374018365003646,"L",5.4,0.5,1
542960,0.19782694539207,0.127775676576033,0.367922810705911,"R",5.4,0.5,1
543001,0.180931670430429,0.0872932867440413,0.379529670355171,"L",5,0.445402125758606,1.003192939456
543022,0.192357131151197,0.161150769977197,0.376366528856574,"R",5,0.513873076548517,1.01613859510945
543031,0.188960397842004,0.106081168176007,0.373521875869495,"R",5.4,0.5,1
543037,0.344563358369454,0.0830438242114788,0.37640309991695,"R",6.253125,0.657394638671165,0.909183874959977
543045,0.207113298134289,0.0940239971301734,0.375891244722261,"L",5.4,0.476480737495187,1.08263887184593
543056,0.250222969764768,0.104675669102027,0.372016433550342,"L",5.4,0.5,1
543101,0.2131872013346,0.0794379577420291,0.380818326113187,"R",5.47619047619048,0.484846363398498,0.98842593241821
543118,0.218699643539393,0.0935307368300907,0.37156121878749,"R",5.4,0.5,1
543135,0.18848161144718,0.0862522329177933,0.375191673900818,"R",5.1,0.600316035301186,0.972076402871564
543144,0.239841175328798,0.0920289719260838,0.372620668616105,"R",5.4,0.5,1
543169,0.16430660763055,0.10304258769512,0.371874086082787,"L",5.4,0.5,1
543193,0.185848683869015,0.0978388139433268,0.373529484353712,"R",5,0.496628919860627,1.00316142207028
543208,0.208715643092592,0.0837689275675619,0.37438954581363,"R",5,0.471779813415615,0.997104969798287
543219,0.171521002072291,0.104275088568344,0.373655272557156,"L",5.4,0.5,1
543243,0.20687019491438,0.105096773520524,0.367966324180955,"R",5,0.612552424272704,0.993495480101916
543258,0.19010906316423,0.0948405582031509,0.38011718663621,"R",5.4,0.5,1
543272,0.320115076648302,0.0960056463970731,0.374350694339635,"L",5.4,0.5,1
543278,0.203085409643893,0.0824769134137806,0.36153556098347,"L",5.16923076923077,0.448415635701544,0.98657661211781
543294,0.179912432431914,0.0756445631328772,0.380156620843758,"R",6.03030303030303,0.612673989233673,0.962784977431986
543331,0.202553949659864,0.104986950573549,0.373776760541772,"R",5.4,0.5,1
543339,0.224417263419939,0.0978707191227969,0.370480792691262,"R",5,0.503412625779265,1.00146052654078
543359,0.183963983806793,0.0985667905999701,0.37158185452632,"L",5,0.5,1
543391,0.180514055952052,0.0838580014662756,0.373178433144617,"R",5.03333333333333,0.499719605502604,0.999879081360137
543424,0.223461730482876,0.0951396216534599,0.376774610353849,"L",5,0.518353719810597,1.0143225538805
